ga_label,ga_weeks,ga_weeks_days,measure,sex,value,z_level
26,26,26+2,hc,male,19.69,-3
26,26,26+2,hc,male,21.25,-2
26,26,26+2,hc,male,22.81,-1
26,26,26+2,hc,male,24.37,0
26,26,26+2,hc,male,25.93,1
26,26,26+2,hc,male,27.49,2
26,26,26+2,hc,male,29.05,3
26,26,26+4,hc,male,19.94,-3
26,26,26+4,hc,male,21.5,-2
26,26,26+4,hc,male,23.06,-1
26,26,26+4,hc,male,24.62,0
26,26,26+4,hc,male,26.18,1
26,26,26+4,hc,male,27.74,2
26,26,26+4,hc,male,29.3,3
26,26,26+6,hc,male,20.2,-3
26,26,26+6,hc,male,21.76,-2
26,26,26+6,hc,male,23.32,-1
26,26,26+6,hc,male,24.88,0
26,26,26+6,hc,male,26.44,1
26,26,26+6,hc,male,28.0,2
26,26,26+6,hc,male,29.56,3
27,27,27+1,hc,male,20.45,-3
27,27,27+1,hc,male,22.01,-2
27,27,27+1,hc,male,23.57,-1
27,27,27+1,hc,male,25.13,0
27,27,27+1,hc,male,26.69,1
27,27,27+1,hc,male,28.25,2
27,27,27+1,hc,male,29.81,3
27,27,27+3,hc,male,20.7,-3
27,27,27+3,hc,male,22.26,-2
27,27,27+3,hc,male,23.82,-1
27,27,27+3,hc,male,25.38,0
27,27,27+3,hc,male,26.94,1
27,27,27+3,hc,male,28.5,2
27,27,27+3,hc,male,30.06,3
27,27,27+5,hc,male,20.96,-3
27,27,27+5,hc,male,22.52,-2
27,27,27+5,hc,male,24.08,-1
27,27,27+5,hc,male,25.64,0
27,27,27+5,hc,male,27.2,1
27,27,27+5,hc,male,28.76,2
27,27,27+5,hc,male,30.32,3
28,28,28+0,hc,male,21.21,-3
28,28,28+0,hc,male,22.77,-2
28,28,28+0,hc,male,24.33,-1
28,28,28+0,hc,male,25.89,0
28,28,28+0,hc,male,27.45,1
28,28,28+0,hc,male,29.01,2
28,28,28+0,hc,male,30.57,3
28,28,28+2,hc,male,21.47,-3
28,28,28+2,hc,male,23.03,-2
28,28,28+2,hc,male,24.59,-1
28,28,28+2,hc,male,26.15,0
28,28,28+2,hc,male,27.71,1
28,28,28+2,hc,male,29.27,2
28,28,28+2,hc,male,30.83,3
28,28,28+4,hc,male,21.72,-3
28,28,28+4,hc,male,23.28,-2
28,28,28+4,hc,male,24.84,-1
28,28,28+4,hc,male,26.4,0
28,28,28+4,hc,male,27.96,1
28,28,28+4,hc,male,29.52,2
28,28,28+4,hc,male,31.08,3
28,28,28+6,hc,male,21.97,-3
28,28,28+6,hc,male,23.53,-2
28,28,28+6,hc,male,25.09,-1
28,28,28+6,hc,male,26.65,0
28,28,28+6,hc,male,28.21,1
28,28,28+6,hc,male,29.77,2
28,28,28+6,hc,male,31.33,3
29,29,29+1,hc,male,22.23,-3
29,29,29+1,hc,male,23.79,-2
29,29,29+1,hc,male,25.35,-1
29,29,29+1,hc,male,26.91,0
29,29,29+1,hc,male,28.47,1
29,29,29+1,hc,male,30.03,2
29,29,29+1,hc,male,31.59,3
29,29,29+3,hc,male,22.48,-3
29,29,29+3,hc,male,24.04,-2
29,29,29+3,hc,male,25.6,-1
29,29,29+3,hc,male,27.16,0
29,29,29+3,hc,male,28.72,1
29,29,29+3,hc,male,30.28,2
29,29,29+3,hc,male,31.84,3
29,29,29+5,hc,male,22.73,-3
29,29,29+5,hc,male,24.29,-2
29,29,29+5,hc,male,25.85,-1
29,29,29+5,hc,male,27.41,0
29,29,29+5,hc,male,28.97,1
29,29,29+5,hc,male,30.53,2
29,29,29+5,hc,male,32.09,3
30,30,30+0,hc,male,22.99,-3
30,30,30+0,hc,male,24.55,-2
30,30,30+0,hc,male,26.11,-1
30,30,30+0,hc,male,27.67,0
30,30,30+0,hc,male,29.23,1
30,30,30+0,hc,male,30.79,2
30,30,30+0,hc,male,32.35,3
30,30,30+2,hc,male,23.24,-3
30,30,30+2,hc,male,24.8,-2
30,30,30+2,hc,male,26.36,-1
30,30,30+2,hc,male,27.92,0
30,30,30+2,hc,male,29.48,1
30,30,30+2,hc,male,31.04,2
30,30,30+2,hc,male,32.6,3
30,30,30+4,hc,male,23.49,-3
30,30,30+4,hc,male,25.05,-2
30,30,30+4,hc,male,26.61,-1
30,30,30+4,hc,male,28.17,0
30,30,30+4,hc,male,29.73,1
30,30,30+4,hc,male,31.29,2
30,30,30+4,hc,male,32.85,3
30,30,30+6,hc,male,23.75,-3
30,30,30+6,hc,male,25.31,-2
30,30,30+6,hc,male,26.87,-1
30,30,30+6,hc,male,28.43,0
30,30,30+6,hc,male,29.99,1
30,30,30+6,hc,male,31.55,2
30,30,30+6,hc,male,33.11,3
31,31,31+1,hc,male,24.0,-3
31,31,31+1,hc,male,25.56,-2
31,31,31+1,hc,male,27.12,-1
31,31,31+1,hc,male,28.68,0
31,31,31+1,hc,male,30.24,1
31,31,31+1,hc,male,31.8,2
31,31,31+1,hc,male,33.36,3
31,31,31+3,hc,male,24.26,-3
31,31,31+3,hc,male,25.82,-2
31,31,31+3,hc,male,27.38,-1
31,31,31+3,hc,male,28.94,0
31,31,31+3,hc,male,30.5,1
31,31,31+3,hc,male,32.06,2
31,31,31+3,hc,male,33.62,3
31,31,31+5,hc,male,24.51,-3
31,31,31+5,hc,male,26.07,-2
31,31,31+5,hc,male,27.63,-1
31,31,31+5,hc,male,29.19,0
31,31,31+5,hc,male,30.75,1
31,31,31+5,hc,male,32.31,2
31,31,31+5,hc,male,33.87,3
32,32,32+0,hc,male,24.76,-3
32,32,32+0,hc,male,26.32,-2
32,32,32+0,hc,male,27.88,-1
32,32,32+0,hc,male,29.44,0
32,32,32+0,hc,male,31.0,1
32,32,32+0,hc,male,32.56,2
32,32,32+0,hc,male,34.12,3
32,32,32+2,hc,male,25.02,-3
32,32,32+2,hc,male,26.58,-2
32,32,32+2,hc,male,28.14,-1
32,32,32+2,hc,male,29.7,0
32,32,32+2,hc,male,31.26,1
32,32,32+2,hc,male,32.82,2
32,32,32+2,hc,male,34.38,3
32,32,32+4,hc,male,25.27,-3
32,32,32+4,hc,male,26.83,-2
32,32,32+4,hc,male,28.39,-1
32,32,32+4,hc,male,29.95,0
32,32,32+4,hc,male,31.51,1
32,32,32+4,hc,male,33.07,2
32,32,32+4,hc,male,34.63,3
32,32,32+6,hc,male,25.52,-3
32,32,32+6,hc,male,27.08,-2
32,32,32+6,hc,male,28.64,-1
32,32,32+6,hc,male,30.2,0
32,32,32+6,hc,male,31.76,1
32,32,32+6,hc,male,33.32,2
32,32,32+6,hc,male,34.88,3
24,24,24+0,hc,female,17.41,-3
24,24,24+0,hc,female,18.97,-2
24,24,24+0,hc,female,20.53,-1
24,24,24+0,hc,female,22.09,0
24,24,24+0,hc,female,23.65,1
24,24,24+0,hc,female,25.21,2
24,24,24+0,hc,female,26.77,3
32,32,32+6,hc,female,25.27,-3
32,32,32+6,hc,female,26.83,-2
32,32,32+6,hc,female,28.39,-1
32,32,32+6,hc,female,29.95,0
32,32,32+6,hc,female,31.51,1
32,32,32+6,hc,female,33.07,2
32,32,32+6,hc,female,34.63,3
24,24,24+0,length,male,24.42,-3
24,24,24+0,length,male,27.02,-2
24,24,24+0,length,male,29.62,-1
24,24,24+0,length,male,32.21,0
24,24,24+0,length,male,34.81,1
24,24,24+0,length,male,37.41,2
24,24,24+0,length,male,40.01,3
24,24,24+2,length,male,24.78,-3
24,24,24+2,length,male,27.38,-2
24,24,24+2,length,male,29.98,-1
24,24,24+2,length,male,32.58,0
24,24,24+2,length,male,35.18,1
24,24,24+2,length,male,37.78,2
24,24,24+2,length,male,40.38,3
24,24,24+4,length,male,25.14,-3
24,24,24+4,length,male,27.74,-2
24,24,24+4,length,male,30.34,-1
24,24,24+4,length,male,32.94,0
24,24,24+4,length,male,35.54,1
24,24,24+4,length,male,38.14,2
24,24,24+4,length,male,40.74,3
24,24,24+6,length,male,25.5,-3
24,24,24+6,length,male,28.1,-2
24,24,24+6,length,male,30.7,-1
24,24,24+6,length,male,33.3,0
24,24,24+6,length,male,35.9,1
24,24,24+6,length,male,38.5,2
24,24,24+6,length,male,41.1,3
25,25,25+1,length,male,25.87,-3
25,25,25+1,length,male,28.47,-2
25,25,25+1,length,male,31.07,-1
25,25,25+1,length,male,33.67,0
25,25,25+1,length,male,36.27,1
25,25,25+1,length,male,38.87,2
25,25,25+1,length,male,41.46,3
25,25,25+3,length,male,26.23,-3
25,25,25+3,length,male,28.83,-2
25,25,25+3,length,male,31.43,-1
25,25,25+3,length,male,34.03,0
25,25,25+3,length,male,36.63,1
25,25,25+3,length,male,39.23,2
25,25,25+3,length,male,41.83,3
25,25,25+5,length,male,26.59,-3
25,25,25+5,length,male,29.19,-2
25,25,25+5,length,male,31.79,-1
25,25,25+5,length,male,34.39,0
25,25,25+5,length,male,36.99,1
25,25,25+5,length,male,39.59,2
25,25,25+5,length,male,42.19,3
26,26,26+0,length,male,26.96,-3
26,26,26+0,length,male,29.56,-2
26,26,26+0,length,male,32.16,-1
26,26,26+0,length,male,34.75,0
26,26,26+0,length,male,37.35,1
26,26,26+0,length,male,39.95,2
26,26,26+0,length,male,42.55,3
26,26,26+2,length,male,27.32,-3
26,26,26+2,length,male,29.92,-2
26,26,26+2,length,male,32.52,-1
26,26,26+2,length,male,35.12,0
26,26,26+2,length,male,37.72,1
26,26,26+2,length,male,40.32,2
26,26,26+2,length,male,42.92,3
26,26,26+4,length,male,27.68,-3
26,26,26+4,length,male,30.28,-2
26,26,26+4,length,male,32.88,-1
26,26,26+4,length,male,35.48,0
26,26,26+4,length,male,38.08,1
26,26,26+4,length,male,40.68,2
26,26,26+4,length,male,43.28,3
26,26,26+6,length,male,28.04,-3
26,26,26+6,length,male,30.64,-2
26,26,26+6,length,male,33.24,-1
26,26,26+6,length,male,35.84,0
26,26,26+6,length,male,38.44,1
26,26,26+6,length,male,41.04,2
26,26,26+6,length,male,43.64,3
27,27,27+1,length,male,28.41,-3
27,27,27+1,length,male,31.01,-2
27,27,27+1,length,male,33.61,-1
27,27,27+1,length,male,36.21,0
27,27,27+1,length,male,38.81,1
27,27,27+1,length,male,41.41,2
27,27,27+1,length,male,44.0,3
27,27,27+3,length,male,28.77,-3
27,27,27+3,length,male,31.37,-2
27,27,27+3,length,male,33.97,-1
27,27,27+3,length,male,36.57,0
27,27,27+3,length,male,39.17,1
27,27,27+3,length,male,41.77,2
27,27,27+3,length,male,44.37,3
27,27,27+5,length,male,29.13,-3
27,27,27+5,length,male,31.73,-2
27,27,27+5,length,male,34.33,-1
27,27,27+5,length,male,36.93,0
27,27,27+5,length,male,39.53,1
27,27,27+5,length,male,42.13,2
27,27,27+5,length,male,44.73,3
28,28,28+0,length,male,29.5,-3
28,28,28+0,length,male,32.1,-2
28,28,28+0,length,male,34.7,-1
28,28,28+0,length,male,37.29,0
28,28,28+0,length,male,39.89,1
28,28,28+0,length,male,42.49,2
28,28,28+0,length,male,45.09,3
28,28,28+2,length,male,29.86,-3
28,28,28+2,length,male,32.46,-2
28,28,28+2,length,male,35.06,-1
28,28,28+2,length,male,37.66,0
28,28,28+2,length,male,40.26,1
28,28,28+2,length,male,42.86,2
28,28,28+2,length,male,45.46,3
28,28,28+4,length,male,30.22,-3
28,28,28+4,length,male,32.82,-2
28,28,28+4,length,male,35.42,-1
28,28,28+4,length,male,38.02,0
28,28,28+4,length,male,40.62,1
28,28,28+4,length,male,43.22,2
28,28,28+4,length,male,45.82,3
28,28,28+6,length,male,30.58,-3
28,28,28+6,length,male,33.18,-2
28,28,28+6,length,male,35.78,-1
28,28,28+6,length,male,38.38,0
28,28,28+6,length,male,40.98,1
28,28,28+6,length,male,43.58,2
28,28,28+6,length,male,46.18,3
29,29,29+1,length,male,30.95,-3
29,29,29+1,length,male,33.55,-2
29,29,29+1,length,male,36.15,-1
29,29,29+1,length,male,38.75,0
29,29,29+1,length,male,41.35,1
29,29,29+1,length,male,43.95,2
29,29,29+1,length,male,46.54,3
29,29,29+3,length,male,31.31,-3
29,29,29+3,length,male,33.91,-2
29,29,29+3,length,male,36.51,-1
29,29,29+3,length,male,39.11,0
29,29,29+3,length,male,41.71,1
29,29,29+3,length,male,44.31,2
29,29,29+3,length,male,46.91,3
29,29,29+5,length,male,31.67,-3
29,29,29+5,length,male,34.27,-2
29,29,29+5,length,male,36.87,-1
29,29,29+5,length,male,39.47,0
29,29,29+5,length,male,42.07,1
29,29,29+5,length,male,44.67,2
29,29,29+5,length,male,47.27,3
30,30,30+0,length,male,32.04,-3
30,30,30+0,length,male,34.64,-2
30,30,30+0,length,male,37.24,-1
30,30,30+0,length,male,39.83,0
30,30,30+0,length,male,42.43,1
30,30,30+0,length,male,45.03,2
30,30,30+0,length,male,47.63,3
30,30,30+2,length,male,32.4,-3
30,30,30+2,length,male,35.0,-2
30,30,30+2,length,male,37.6,-1
30,30,30+2,length,male,40.2,0
30,30,30+2,length,male,42.8,1
30,30,30+2,length,male,45.4,2
30,30,30+2,length,male,48.0,3
30,30,30+4,length,male,32.76,-3
30,30,30+4,length,male,35.36,-2
30,30,30+4,length,male,37.96,-1
30,30,30+4,length,male,40.56,0
30,30,30+4,length,male,43.16,1
30,30,30+4,length,male,45.76,2
30,30,30+4,length,male,48.36,3
30,30,30+6,length,male,33.12,-3
30,30,30+6,length,male,35.72,-2
30,30,30+6,length,male,38.32,-1
30,30,30+6,length,male,40.92,0
30,30,30+6,length,male,43.52,1
30,30,30+6,length,male,46.12,2
30,30,30+6,length,male,48.72,3
31,31,31+1,length,male,33.49,-3
31,31,31+1,length,male,36.09,-2
31,31,31+1,length,male,38.69,-1
31,31,31+1,length,male,41.29,0
31,31,31+1,length,male,43.89,1
31,31,31+1,length,male,46.49,2
31,31,31+1,length,male,49.08,3
31,31,31+3,length,male,33.85,-3
31,31,31+3,length,male,36.45,-2
31,31,31+3,length,male,39.05,-1
31,31,31+3,length,male,41.65,0
31,31,31+3,length,male,44.25,1
31,31,31+3,length,male,46.85,2
31,31,31+3,length,male,49.45,3
31,31,31+5,length,male,34.21,-3
31,31,31+5,length,male,36.81,-2
31,31,31+5,length,male,39.41,-1
31,31,31+5,length,male,42.01,0
31,31,31+5,length,male,44.61,1
31,31,31+5,length,male,47.21,2
31,31,31+5,length,male,49.81,3
32,32,32+0,length,male,34.58,-3
32,32,32+0,length,male,37.18,-2
32,32,32+0,length,male,39.78,-1
32,32,32+0,length,male,42.37,0
32,32,32+0,length,male,44.97,1
32,32,32+0,length,male,47.57,2
32,32,32+0,length,male,50.17,3
32,32,32+2,length,male,34.94,-3
32,32,32+2,length,male,37.54,-2
32,32,32+2,length,male,40.14,-1
32,32,32+2,length,male,42.74,0
32,32,32+2,length,male,45.34,1
32,32,32+2,length,male,47.94,2
32,32,32+2,length,male,50.54,3
32,32,32+4,length,male,35.3,-3
32,32,32+4,length,male,37.9,-2
32,32,32+4,length,male,40.5,-1
32,32,32+4,length,male,43.1,0
32,32,32+4,length,male,45.7,1
32,32,32+4,length,male,48.3,2
32,32,32+4,length,male,50.9,3
32,32,32+6,length,male,35.66,-3
32,32,32+6,length,male,38.26,-2
32,32,32+6,length,male,40.86,-1
32,32,32+6,length,male,43.46,0
32,32,32+6,length,male,46.06,1
32,32,32+6,length,male,48.66,2
32,32,32+6,length,male,51.26,3
24,24,24+0,length,female,23.99,-3
24,24,24+0,length,female,26.59,-2
24,24,24+0,length,female,29.19,-1
24,24,24+0,length,female,31.79,0
24,24,24+0,length,female,34.39,1
24,24,24+0,length,female,36.99,2
24,24,24+0,length,female,39.59,3
24,24,24+2,length,female,24.35,-3
24,24,24+2,length,female,26.95,-2
24,24,24+2,length,female,29.55,-1
24,24,24+2,length,female,32.15,0
24,24,24+2,length,female,34.75,1
24,24,24+2,length,female,37.35,2
24,24,24+2,length,female,39.95,3
24,24,24+4,length,female,24.72,-3
24,24,24+4,length,female,27.31,-2
24,24,24+4,length,female,29.91,-1
24,24,24+4,length,female,32.51,0
24,24,24+4,length,female,35.11,1
24,24,24+4,length,female,37.71,2
24,24,24+4,length,female,40.31,3
24,24,24+6,length,female,25.08,-3
24,24,24+6,length,female,27.68,-2
24,24,24+6,length,female,30.28,-1
24,24,24+6,length,female,32.88,0
24,24,24+6,length,female,35.48,1
24,24,24+6,length,female,38.08,2
24,24,24+6,length,female,40.68,3
25,25,25+1,length,female,25.44,-3
25,25,25+1,length,female,28.04,-2
25,25,25+1,length,female,30.64,-1
25,25,25+1,length,female,33.24,0
25,25,25+1,length,female,35.84,1
25,25,25+1,length,female,38.44,2
25,25,25+1,length,female,41.04,3
25,25,25+3,length,female,25.8,-3
25,25,25+3,length,female,28.4,-2
25,25,25+3,length,female,31.0,-1
25,25,25+3,length,female,33.6,0
25,25,25+3,length,female,36.2,1
25,25,25+3,length,female,38.8,2
25,25,25+3,length,female,41.4,3
25,25,25+5,length,female,26.17,-3
25,25,25+5,length,female,28.77,-2
25,25,25+5,length,female,31.37,-1
25,25,25+5,length,female,33.97,0
25,25,25+5,length,female,36.56,1
25,25,25+5,length,female,39.16,2
25,25,25+5,length,female,41.76,3
26,26,26+0,length,female,26.53,-3
26,26,26+0,length,female,29.13,-2
26,26,26+0,length,female,31.73,-1
26,26,26+0,length,female,34.33,0
26,26,26+0,length,female,36.93,1
26,26,26+0,length,female,39.53,2
26,26,26+0,length,female,42.13,3
26,26,26+2,length,female,26.89,-3
26,26,26+2,length,female,29.49,-2
26,26,26+2,length,female,32.09,-1
26,26,26+2,length,female,34.69,0
26,26,26+2,length,female,37.29,1
26,26,26+2,length,female,39.89,2
26,26,26+2,length,female,42.49,3
26,26,26+4,length,female,27.26,-3
26,26,26+4,length,female,29.85,-2
26,26,26+4,length,female,32.45,-1
26,26,26+4,length,female,35.05,0
26,26,26+4,length,female,37.65,1
26,26,26+4,length,female,40.25,2
26,26,26+4,length,female,42.85,3
26,26,26+6,length,female,27.62,-3
26,26,26+6,length,female,30.22,-2
26,26,26+6,length,female,32.82,-1
26,26,26+6,length,female,35.42,0
26,26,26+6,length,female,38.02,1
26,26,26+6,length,female,40.62,2
26,26,26+6,length,female,43.22,3
27,27,27+1,length,female,27.98,-3
27,27,27+1,length,female,30.58,-2
27,27,27+1,length,female,33.18,-1
27,27,27+1,length,female,35.78,0
27,27,27+1,length,female,38.38,1
27,27,27+1,length,female,40.98,2
27,27,27+1,length,female,43.58,3
27,27,27+3,length,female,28.34,-3
27,27,27+3,length,female,30.94,-2
27,27,27+3,length,female,33.54,-1
27,27,27+3,length,female,36.14,0
27,27,27+3,length,female,38.74,1
27,27,27+3,length,female,41.34,2
27,27,27+3,length,female,43.94,3
27,27,27+5,length,female,28.71,-3
27,27,27+5,length,female,31.31,-2
27,27,27+5,length,female,33.91,-1
27,27,27+5,length,female,36.51,0
27,27,27+5,length,female,39.1,1
27,27,27+5,length,female,41.7,2
27,27,27+5,length,female,44.3,3
28,28,28+0,length,female,29.07,-3
28,28,28+0,length,female,31.67,-2
28,28,28+0,length,female,34.27,-1
28,28,28+0,length,female,36.87,0
28,28,28+0,length,female,39.47,1
28,28,28+0,length,female,42.07,2
28,28,28+0,length,female,44.67,3
28,28,28+2,length,female,29.43,-3
28,28,28+2,length,female,32.03,-2
28,28,28+2,length,female,34.63,-1
28,28,28+2,length,female,37.23,0
28,28,28+2,length,female,39.83,1
28,28,28+2,length,female,42.43,2
28,28,28+2,length,female,45.03,3
29,29,29+4,length,female,31.07,-3
29,29,29+4,length,female,33.66,-2
29,29,29+4,length,female,36.26,-1
29,29,29+4,length,female,38.86,0
29,29,29+4,length,female,41.46,1
29,29,29+4,length,female,44.06,2
29,29,29+4,length,female,46.66,3
29,29,29+6,length,female,31.43,-3
29,29,29+6,length,female,34.03,-2
29,29,29+6,length,female,36.63,-1
29,29,29+6,length,female,39.23,0
29,29,29+6,length,female,41.83,1
29,29,29+6,length,female,44.43,2
29,29,29+6,length,female,47.03,3
30,30,30+1,length,female,31.79,-3
30,30,30+1,length,female,34.39,-2
30,30,30+1,length,female,36.99,-1
30,30,30+1,length,female,39.59,0
30,30,30+1,length,female,42.19,1
30,30,30+1,length,female,44.79,2
30,30,30+1,length,female,47.39,3
30,30,30+3,length,female,32.15,-3
30,30,30+3,length,female,34.75,-2
30,30,30+3,length,female,37.35,-1
30,30,30+3,length,female,39.95,0
30,30,30+3,length,female,42.55,1
30,30,30+3,length,female,45.15,2
30,30,30+3,length,female,47.75,3
30,30,30+5,length,female,32.52,-3
30,30,30+5,length,female,35.12,-2
30,30,30+5,length,female,37.72,-1
30,30,30+5,length,female,40.32,0
30,30,30+5,length,female,42.91,1
30,30,30+5,length,female,45.51,2
30,30,30+5,length,female,48.11,3
31,31,31+0,length,female,32.88,-3
31,31,31+0,length,female,35.48,-2
31,31,31+0,length,female,38.08,-1
31,31,31+0,length,female,40.68,0
31,31,31+0,length,female,43.28,1
31,31,31+0,length,female,45.88,2
31,31,31+0,length,female,48.48,3
31,31,31+2,length,female,33.24,-3
31,31,31+2,length,female,35.84,-2
31,31,31+2,length,female,38.44,-1
31,31,31+2,length,female,41.04,0
31,31,31+2,length,female,43.64,1
31,31,31+2,length,female,46.24,2
31,31,31+2,length,female,48.84,3
31,31,31+4,length,female,33.61,-3
31,31,31+4,length,female,36.2,-2
31,31,31+4,length,female,38.8,-1
31,31,31+4,length,female,41.4,0
31,31,31+4,length,female,44.0,1
31,31,31+4,length,female,46.6,2
31,31,31+4,length,female,49.2,3
31,31,31+6,length,female,33.97,-3
31,31,31+6,length,female,36.57,-2
31,31,31+6,length,female,39.17,-1
31,31,31+6,length,female,41.77,0
31,31,31+6,length,female,44.37,1
31,31,31+6,length,female,46.97,2
31,31,31+6,length,female,49.57,3
32,32,32+1,length,female,34.33,-3
32,32,32+1,length,female,36.93,-2
32,32,32+1,length,female,39.53,-1
32,32,32+1,length,female,42.13,0
32,32,32+1,length,female,44.73,1
32,32,32+1,length,female,47.33,2
32,32,32+1,length,female,49.93,3
32,32,32+3,length,female,34.69,-3
32,32,32+3,length,female,37.29,-2
32,32,32+3,length,female,39.89,-1
32,32,32+3,length,female,42.49,0
32,32,32+3,length,female,45.09,1
32,32,32+3,length,female,47.69,2
32,32,32+3,length,female,50.29,3
32,32,32+5,length,female,35.06,-3
32,32,32+5,length,female,37.66,-2
32,32,32+5,length,female,40.26,-1
32,32,32+5,length,female,42.86,0
32,32,32+5,length,female,45.46,1
32,32,32+5,length,female,48.05,2
32,32,32+5,length,female,50.65,3
24,24,24+0,wt,male,0.36,-3
24,24,24+0,wt,male,0.43,-2
24,24,24+0,wt,male,0.53,-1
24,24,24+0,wt,male,0.64,0
24,24,24+0,wt,male,0.77,1
24,24,24+0,wt,male,0.94,2
24,24,24+0,wt,male,1.14,3
24,24,24+1,wt,male,0.36,-3
24,24,24+1,wt,male,0.44,-2
24,24,24+1,wt,male,0.54,-1
24,24,24+1,wt,male,0.65,0
24,24,24+1,wt,male,0.79,1
24,24,24+1,wt,male,0.96,2
24,24,24+1,wt,male,1.16,3
24,24,24+2,wt,male,0.37,-3
24,24,24+2,wt,male,0.45,-2
24,24,24+2,wt,male,0.55,-1
24,24,24+2,wt,male,0.66,0
24,24,24+2,wt,male,0.8,1
24,24,24+2,wt,male,0.98,2
24,24,24+2,wt,male,1.18,3
24,24,24+3,wt,male,0.38,-3
24,24,24+3,wt,male,0.46,-2
24,24,24+3,wt,male,0.56,-1
24,24,24+3,wt,male,0.68,0
24,24,24+3,wt,male,0.82,1
24,24,24+3,wt,male,0.99,2
24,24,24+3,wt,male,1.21,3
24,24,24+4,wt,male,0.39,-3
24,24,24+4,wt,male,0.47,-2
24,24,24+4,wt,male,0.57,-1
24,24,24+4,wt,male,0.69,0
24,24,24+4,wt,male,0.84,1
24,24,24+4,wt,male,1.01,2
24,24,24+4,wt,male,1.23,3
24,24,24+5,wt,male,0.39,-3
24,24,24+5,wt,male,0.48,-2
24,24,24+5,wt,male,0.58,-1
24,24,24+5,wt,male,0.7,0
24,24,24+5,wt,male,0.85,1
24,24,24+5,wt,male,1.03,2
24,24,24+5,wt,male,1.25,3
24,24,24+6,wt,male,0.4,-3
24,24,24+6,wt,male,0.49,-2
24,24,24+6,wt,male,0.59,-1
24,24,24+6,wt,male,0.72,0
24,24,24+6,wt,male,0.87,1
24,24,24+6,wt,male,1.05,2
24,24,24+6,wt,male,1.28,3
25,25,25+0,wt,male,0.41,-3
25,25,25+0,wt,male,0.5,-2
25,25,25+0,wt,male,0.6,-1
25,25,25+0,wt,male,0.73,0
25,25,25+0,wt,male,0.88,1
25,25,25+0,wt,male,1.07,2
25,25,25+0,wt,male,1.3,3
25,25,25+1,wt,male,0.42,-3
25,25,25+1,wt,male,0.5,-2
25,25,25+1,wt,male,0.61,-1
25,25,25+1,wt,male,0.74,0
25,25,25+1,wt,male,0.9,1
25,25,25+1,wt,male,1.09,2
25,25,25+1,wt,male,1.33,3
25,25,25+2,wt,male,0.42,-3
25,25,25+2,wt,male,0.51,-2
25,25,25+2,wt,male,0.62,-1
25,25,25+2,wt,male,0.76,0
25,25,25+2,wt,male,0.92,1
25,25,25+2,wt,male,1.11,2
25,25,25+2,wt,male,1.35,3
25,25,25+3,wt,male,0.43,-3
25,25,25+3,wt,male,0.52,-2
25,25,25+3,wt,male,0.64,-1
25,25,25+3,wt,male,0.77,0
25,25,25+3,wt,male,0.94,1
25,25,25+3,wt,male,1.14,2
25,25,25+3,wt,male,1.38,3
25,25,25+4,wt,male,0.44,-3
25,25,25+4,wt,male,0.53,-2
25,25,25+4,wt,male,0.65,-1
